"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2421",https://www.congress.gov/bill/115th-congress/senate-bill/2421,"115th Congress (2017-2018)",,"FARM Act","Sen. Fischer, Deb [R-NE]",02/13/2018,,,,39,"Senate - Environment and Public Works",03/08/2018,"Committee on Environment and Public Works Subcommittee on Superfund, Waste Management, and Regulatory Oversight. Hearings held. With printed Hearing: S.Hrg. 115-237."
"S. 2364",https://www.congress.gov/bill/115th-congress/senate-bill/2364,"115th Congress (2017-2018)",,"SRF WIN Act","Sen. Boozman, John [R-AR]",01/30/2018,,,,13,"Senate - Environment and Public Works",01/30/2018,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2352",https://www.congress.gov/bill/115th-congress/senate-bill/2352,"115th Congress (2017-2018)",,"Healthy Climate and Family Security Act of 2018","Sen. Van Hollen, Chris [D-MD]",01/29/2018,,,,0,"Senate - Finance",01/29/2018,"Read twice and referred to the Committee on Finance."
"S. 2331",https://www.congress.gov/bill/115th-congress/senate-bill/2331,"115th Congress (2017-2018)",,"A bill to extend the period during which vessels that are shorter than 79 feet in length and fishing vessels are not required to have a permit for discharges incidental to the normal operation of the vessel.","Sen. Sullivan, Dan  [R-AK]",01/23/2018,,,,1,"Senate - Commerce, Science, and Transportation",01/23/2018,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
"S. 2273",https://www.congress.gov/bill/115th-congress/senate-bill/2273,"115th Congress (2017-2018)",,"A bill to extend the period during which vessels that are shorter than 79 feet in length and fishing vessels are not required to have a permit for discharges incidental to the normal operation of the vessel.","Sen. Sullivan, Dan  [R-AK]",12/21/2017,,,,1,,01/03/2018,"Became Public Law No: 115-100."
"S. 2194",https://www.congress.gov/bill/115th-congress/senate-bill/2194,"115th Congress (2017-2018)",,"Fishing and Small Vessel Relief Act","Sen. Cantwell, Maria [D-WA]",12/05/2017,,,,5,"Senate - Environment and Public Works",12/05/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2176",https://www.congress.gov/bill/115th-congress/senate-bill/2176,"115th Congress (2017-2018)",,"Safeguarding America's Future and Environment Act","Sen. Whitehouse, Sheldon [D-RI]",11/30/2017,,,,6,"Senate - Environment and Public Works",11/30/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2072",https://www.congress.gov/bill/115th-congress/senate-bill/2072,"115th Congress (2017-2018)",,"Alan Reinstein Ban Asbestos Now Act of 2017","Sen. Merkley, Jeff [D-OR]",11/02/2017,,,,11,"Senate - Environment and Public Works",11/02/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2000",https://www.congress.gov/bill/115th-congress/senate-bill/2000,"115th Congress (2017-2018)",,"National Opportunity for Lead Exposure Accountability and Deterrence Act of 2017","Sen. Duckworth, Tammy [D-IL]",10/24/2017,,,,1,"Senate - Environment and Public Works",10/24/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1996",https://www.congress.gov/bill/115th-congress/senate-bill/1996,"115th Congress (2017-2018)",,"Environmental Justice Act of 2017","Sen. Booker, Cory A. [D-NJ]",10/24/2017,,,,15,"Senate - Environment and Public Works",10/24/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1934",https://www.congress.gov/bill/115th-congress/senate-bill/1934,"115th Congress (2017-2018)",,"Alaska Remote Generator Reliability and Protection Act","Sen. Sullivan, Dan  [R-AK]",10/05/2017,,,,1,"Senate - Environment and Public Works",12/21/2018,"On motion to suspend the rules and pass the bill Failed by the Yeas and Nays: (2/3 required): 202 - 171 (Roll no. 494)."
"S. 1930",https://www.congress.gov/bill/115th-congress/senate-bill/1930,"115th Congress (2017-2018)",,"Pollution Transparency Act","Sen. Bennet, Michael F. [D-CO]",10/05/2017,,,,13,"Senate - Environment and Public Works",10/05/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1863",https://www.congress.gov/bill/115th-congress/senate-bill/1863,"115th Congress (2017-2018)",,"Native Species Protection Act","Sen. Lee, Mike [R-UT]",09/26/2017,,,,3,"Senate - Environment and Public Works",09/26/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1857",https://www.congress.gov/bill/115th-congress/senate-bill/1857,"115th Congress (2017-2018)",,"A bill to establish a compliance deadline of May 15, 2023, for Step 2 emissions standards for new residential wood heaters, new residential hydronic heaters, and forced-air furnaces.","Sen. Capito, Shelley Moore [R-WV]",09/26/2017,,,,7,"Senate - Environment and Public Works",12/06/2018,"By Senator Barrasso from Committee on Environment and Public Works filed written report. Report No. 115-422. Minority views filed."
"S. 1794",https://www.congress.gov/bill/115th-congress/senate-bill/1794,"115th Congress (2017-2018)",,"HONEST Act","Sen. Rounds, Mike  [R-SD]",09/12/2017,,,,2,"Senate - Environment and Public Works",09/12/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1756",https://www.congress.gov/bill/115th-congress/senate-bill/1756,"115th Congress (2017-2018)",,"Rebuild America Now Act","Sen. Sullivan, Dan  [R-AK]",08/03/2017,,,,11,"Senate - Environment and Public Works",05/15/2018,"Committee on Small Business and Entrepreneurship. Hearings held. Hearings printed: S.Hrg. 115-322."
"S. 1700",https://www.congress.gov/bill/115th-congress/senate-bill/1700,"115th Congress (2017-2018)",,"Water Efficiency Improvement Act of 2017","Sen. Udall, Tom [D-NM]",08/02/2017,,,,10,"Senate - Environment and Public Works",08/02/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1695",https://www.congress.gov/bill/115th-congress/senate-bill/1695,"115th Congress (2017-2018)",,"Innovative Stormwater Infrastructure Act of 2017","Sen. Udall, Tom [D-NM]",08/01/2017,,,,1,"Senate - Environment and Public Works",08/01/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1669",https://www.congress.gov/bill/115th-congress/senate-bill/1669,"115th Congress (2017-2018)",,"Environmental Cleanup Infrastructure Act","Sen. Booker, Cory A. [D-NJ]",07/27/2017,,,,0,"Senate - Environment and Public Works",07/27/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1624",https://www.congress.gov/bill/115th-congress/senate-bill/1624,"115th Congress (2017-2018)",,"Protect Children, Farmers, and Farmworkers from Nerve Agent Pesticides Act of 2017","Sen. Udall, Tom [D-NM]",07/25/2017,,,,10,"Senate - Agriculture, Nutrition, and Forestry",07/25/2017,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry."
"S. 1622",https://www.congress.gov/bill/115th-congress/senate-bill/1622,"115th Congress (2017-2018)",,"Beach Act of 2017","Sen. Menendez, Robert [D-NJ]",07/24/2017,,,,0,"Senate - Environment and Public Works",07/24/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1513",https://www.congress.gov/bill/115th-congress/senate-bill/1513,"115th Congress (2017-2018)",,"National Fish and Wildlife Foundation Establishment Act","Sen. Cardin, Benjamin L. [D-MD]",06/29/2017,,,,7,"Senate - Environment and Public Works",06/29/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1512",https://www.congress.gov/bill/115th-congress/senate-bill/1512,"115th Congress (2017-2018)",,"Transparency and Honesty in Energy Regulations Act of 2017","Sen. Lankford, James [R-OK]",06/29/2017,,,,7,"Senate - Environment and Public Works",06/29/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1474",https://www.congress.gov/bill/115th-congress/senate-bill/1474,"115th Congress (2017-2018)",,"REGION Act","Sen. Duckworth, Tammy [D-IL]",06/29/2017,,,,9,"Senate - Environment and Public Works",06/29/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1447",https://www.congress.gov/bill/115th-congress/senate-bill/1447,"115th Congress (2017-2018)",,"Diesel Emissions Reduction Act of 2017","Sen. Carper, Thomas R. [D-DE]",06/27/2017,,,,3,"Senate - Environment and Public Works",12/21/2017,"Returned to the Calendar. Calendar No. 219."
"S. 1429",https://www.congress.gov/bill/115th-congress/senate-bill/1429,"115th Congress (2017-2018)",,"Chesapeake Bay Program Reauthorization Act","Sen. Cardin, Benjamin L. [D-MD]",06/26/2017,,,,1,"Senate - Environment and Public Works",06/26/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1401",https://www.congress.gov/bill/115th-congress/senate-bill/1401,"115th Congress (2017-2018)",,"Get the Lead Out of Schools Act","Sen. Duckworth, Tammy [D-IL]",06/21/2017,,,,2,"Senate - Environment and Public Works",06/21/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1332",https://www.congress.gov/bill/115th-congress/senate-bill/1332,"115th Congress (2017-2018)",,"Great Lakes Aquatic Connectivity and Infrastructure Program Act","Sen. Stabenow, Debbie [D-MI]",06/08/2017,,,,4,"Senate - Environment and Public Works",06/08/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1331",https://www.congress.gov/bill/115th-congress/senate-bill/1331,"115th Congress (2017-2018)",,"Great Lakes Mass Marking Program Act","Sen. Stabenow, Debbie [D-MI]",06/08/2017,,,,3,"Senate - Environment and Public Works",06/08/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1289",https://www.congress.gov/bill/115th-congress/senate-bill/1289,"115th Congress (2017-2018)",,"A bill to amend the Federal Water Pollution Control Act to exempt Indian tribes from compensatory mitigation requirements in connection with certain discharges of dredged or fill material, and for other purposes.","Sen. Sullivan, Dan  [R-AK]",05/25/2017,,,,1,"Senate - Environment and Public Works",05/25/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1288",https://www.congress.gov/bill/115th-congress/senate-bill/1288,"115th Congress (2017-2018)",,"A bill to amend the Federal Water Pollution Control Act to allow preservation leasing as a form of compensatory mitigation for discharges of dredged or fill material affecting Indian land, and for other purposes.","Sen. Sullivan, Dan  [R-AK]",05/25/2017,,,,1,"Senate - Environment and Public Works",05/25/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1226",https://www.congress.gov/bill/115th-congress/senate-bill/1226,"115th Congress (2017-2018)",,"LINES Act","Sen. Peters, Gary C. [D-MI]",05/24/2017,,,,1,"Senate - Environment and Public Works",05/24/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1211",https://www.congress.gov/bill/115th-congress/senate-bill/1211,"115th Congress (2017-2018)",,"A bill to require the Secretary of the Army, acting through the Chief of Engineers, to undertake remediation oversight of the West Lake Landfill located in Bridgeton, Missouri.","Sen. Blunt, Roy [R-MO]",05/24/2017,,,,1,"Senate - Environment and Public Works",05/24/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1207",https://www.congress.gov/bill/115th-congress/senate-bill/1207,"115th Congress (2017-2018)",,"FUELS Act","Sen. Fischer, Deb [R-NE]",05/23/2017,,,,8,"Senate - Environment and Public Works",05/23/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1206",https://www.congress.gov/bill/115th-congress/senate-bill/1206,"115th Congress (2017-2018)",,"A bill to ensure fair treatment in licensing requirements for the export of certain echinoderms.","Sen. King, Angus S., Jr. [I-ME]",05/23/2017,,,,1,"Senate - Environment and Public Works",05/23/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1203",https://www.congress.gov/bill/115th-congress/senate-bill/1203,"115th Congress (2017-2018)",,"A bill to require the Administrator of the Environmental Protection Agency to establish a program under which the Administrator shall defer the designation of an area as a nonattainment area for purposes of the 8-hour ozone national ambient air quality standard if the area achieves and maintains certain standards under a voluntary early action compact plan.","Sen. Hatch, Orrin G. [R-UT]",05/23/2017,,,,2,"Senate - Environment and Public Works",05/23/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1137",https://www.congress.gov/bill/115th-congress/senate-bill/1137,"115th Congress (2017-2018)",,"Clean Safe Reliable Water Infrastructure Act","Sen. Cardin, Benjamin L. [D-MD]",05/16/2017,,,,3,"Senate - Environment and Public Works",05/16/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1057",https://www.congress.gov/bill/115th-congress/senate-bill/1057,"115th Congress (2017-2018)",,"Harmful Algal Bloom and Hypoxia Research and Control Amendments Act of 2017","Sen. Nelson, Bill [D-FL]",05/04/2017,,,,7,"Senate - Commerce, Science, and Transportation",09/27/2017,"Held at the desk."
"S. 971",https://www.congress.gov/bill/115th-congress/senate-bill/971,"115th Congress (2017-2018)",,"REPAIR Act","Sen. Thune, John [R-SD]",04/27/2017,,,,0,"Senate - Environment and Public Works",04/27/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 935",https://www.congress.gov/bill/115th-congress/senate-bill/935,"115th Congress (2017-2018)",,"Endangered Species Management Self-Determination Act","Sen. Paul, Rand [R-KY]",04/25/2017,,,,3,"Senate - Environment and Public Works",04/25/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 922",https://www.congress.gov/bill/115th-congress/senate-bill/922,"115th Congress (2017-2018)",,"Climate Change Adapt America Fund Act of 2017","Sen. Durbin, Richard J. [D-IL]",04/24/2017,,,,0,"Senate - Finance",04/24/2017,"Read twice and referred to the Committee on Finance."
"S. 914",https://www.congress.gov/bill/115th-congress/senate-bill/914,"115th Congress (2017-2018)",,"Safe Drinking Water Assistance Act of 2017","Sen. Shaheen, Jeanne [D-NH]",04/24/2017,,,,2,"Senate - Environment and Public Works",04/24/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 880",https://www.congress.gov/bill/115th-congress/senate-bill/880,"115th Congress (2017-2018)",,"Made in America Water Infrastructure Act","Sen. Baldwin, Tammy [D-WI]",04/06/2017,,,,8,"Senate - Environment and Public Works",04/06/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 865",https://www.congress.gov/bill/115th-congress/senate-bill/865,"115th Congress (2017-2018)",,"FRAC Act","Sen. Casey, Robert P., Jr. [D-PA]",04/06/2017,,,,10,"Senate - Environment and Public Works",04/06/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 839",https://www.congress.gov/bill/115th-congress/senate-bill/839,"115th Congress (2017-2018)",,"Blocking Regulatory Interference from Closing Kilns Act of 2017","Sen. Wicker, Roger F. [R-MS]",04/05/2017,,,,6,"Senate - Environment and Public Works",11/14/2017,"Committee on Environment and Public Works Senate Subcommittee on Clean Air and Nuclear Safety. Hearings held. With printed Hearing: S.Hrg. 115-127."
"S. 822",https://www.congress.gov/bill/115th-congress/senate-bill/822,"115th Congress (2017-2018)",,"BUILD Act","Sen. Inhofe, James M. [R-OK]",04/04/2017,,,,9,"Senate - Environment and Public Works",09/07/2017,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 213."
"S. 789",https://www.congress.gov/bill/115th-congress/senate-bill/789,"115th Congress (2017-2018)",,"Public Water Supply Invasive Species Compliance Act of 2017","Sen. Cruz, Ted [R-TX]",03/30/2017,,,,3,"Senate - Environment and Public Works",03/30/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 767",https://www.congress.gov/bill/115th-congress/senate-bill/767,"115th Congress (2017-2018)",,"Clean Air, Healthy Kids Act","Sen. Bennet, Michael F. [D-CO]",03/29/2017,,,,31,"Senate - Environment and Public Works",03/29/2017,"Read twice and referred to the Committee on Environment and Public Works. (Sponsor introductory remarks on measure: CR S2101-2102)"
"S. 746",https://www.congress.gov/bill/115th-congress/senate-bill/746,"115th Congress (2017-2018)",,"TRASH Act","Sen. Casey, Robert P., Jr. [D-PA]",03/28/2017,,,,0,"Senate - Environment and Public Works",03/28/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 735",https://www.congress.gov/bill/115th-congress/senate-bill/735,"115th Congress (2017-2018)",,"State, Tribal, and Local Species Transparency and Recovery Act","Sen. Enzi, Michael B. [R-WY]",03/27/2017,,,,3,"Senate - Environment and Public Works",03/27/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 692",https://www.congress.gov/bill/115th-congress/senate-bill/692,"115th Congress (2017-2018)",,"Water Infrastructure Flexibility Act","Sen. Fischer, Deb [R-NE]",03/21/2017,,,,9,"House - Transportation and Infrastructure, Energy and Commerce | Senate - Environment and Public Works",10/13/2017,"Referred to the Subcommittee on Environment."
"S. 675",https://www.congress.gov/bill/115th-congress/senate-bill/675,"115th Congress (2017-2018)",,"Long Island Sound Restoration and Stewardship Act","Sen. Gillibrand, Kirsten E. [D-NY]",03/21/2017,,,,3,"Senate - Environment and Public Works",05/17/2017,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 90."
"S. 551",https://www.congress.gov/bill/115th-congress/senate-bill/551,"115th Congress (2017-2018)",,"Nogales Wastewater Fairness Act","Sen. McCain, John [R-AZ]",03/07/2017,,,,1,"Senate - Foreign Relations",03/07/2017,"Read twice and referred to the Committee on Foreign Relations."
"S. 519",https://www.congress.gov/bill/115th-congress/senate-bill/519,"115th Congress (2017-2018)",,"A bill to amend the Safe Water Drinking Act to require the Administrator of the Environmental Protection Agency to establish maximum contaminant levels for certain contaminants, and for other purposes.","Sen. Gillibrand, Kirsten E. [D-NY]",03/02/2017,,,,3,"Senate - Environment and Public Works",03/02/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 518",https://www.congress.gov/bill/115th-congress/senate-bill/518,"115th Congress (2017-2018)",,"Small and Rural Community Clean Water Technical Assistance Act","Sen. Wicker, Roger F. [R-MS]",03/02/2017,,,,14,"Senate - Environment and Public Works",05/17/2017,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 89."
"S. 517",https://www.congress.gov/bill/115th-congress/senate-bill/517,"115th Congress (2017-2018)",,"Consumer and Fuel Retailer Choice Act","Sen. Fischer, Deb [R-NE]",03/02/2017,,,,18,"Senate - Environment and Public Works",06/14/2017,"Committee on Environment and Public Works. Hearings held. Hearings printed: S.Hrg. 115-71."
"S. 454",https://www.congress.gov/bill/115th-congress/senate-bill/454,"115th Congress (2017-2018)",,"Commonsense Legislative Exceptional Events Reforms Act of 2017","Sen. Flake, Jeff [R-AZ]",02/27/2017,,,,2,"Senate - Environment and Public Works",02/27/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 453",https://www.congress.gov/bill/115th-congress/senate-bill/453,"115th Congress (2017-2018)",,"Agency PAYGO for Greenhouse Gases Act","Sen. Flake, Jeff [R-AZ]",02/27/2017,,,,2,"Senate - Environment and Public Works",02/27/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 452",https://www.congress.gov/bill/115th-congress/senate-bill/452,"115th Congress (2017-2018)",,"ORDEAL Act of 2017","Sen. Flake, Jeff [R-AZ]",02/27/2017,,,,5,"Senate - Environment and Public Works",05/23/2017,"Committee on Environment and Public Works Subcommittee on Clean Air and Nuclear Safety. Hearings held. With printed Hearing: S.Hrg. 115-103."
"S. 376",https://www.congress.gov/bill/115th-congress/senate-bill/376,"115th Congress (2017-2018)",,"21st Century Endangered Species Transparency Act","Sen. Cornyn, John [R-TX]",02/14/2017,,,,8,"Senate - Environment and Public Works",02/14/2017,"Read twice and referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S1162-1163)"
"S. 375",https://www.congress.gov/bill/115th-congress/senate-bill/375,"115th Congress (2017-2018)",,"A bill to amend the Endangered Species Act of 1973 to establish a procedure for approval of certain settlements.","Sen. Cornyn, John [R-TX]",02/14/2017,,,,10,"Senate - Environment and Public Works",02/14/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 340",https://www.congress.gov/bill/115th-congress/senate-bill/340,"115th Congress (2017-2018)",,"Sensible Environmental Protection Act of 2017","Sen. Crapo, Mike [R-ID]",02/07/2017,,,,18,"Senate - Environment and Public Works",02/07/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 263",https://www.congress.gov/bill/115th-congress/senate-bill/263,"115th Congress (2017-2018)",,"Ozone Standards Implementation Act of 2017","Sen. Capito, Shelley Moore [R-WV]",02/01/2017,,,,7,"Senate - Environment and Public Works",05/23/2017,"Committee on Environment and Public Works Subcommittee on Clean Air and Nuclear Safety. Hearings held. With printed Hearing: S.Hrg. 115-103."
"S. 203",https://www.congress.gov/bill/115th-congress/senate-bill/203,"115th Congress (2017-2018)",,"RPM Act of 2017","Sen. Burr, Richard [R-NC]",01/24/2017,,,,39,"Senate - Environment and Public Works",11/14/2017,"Committee on Environment and Public Works Senate Subcommittee on Clean Air and Nuclear Safety. Hearings held. With printed Hearing: S.Hrg. 115-127."
"S. 168",https://www.congress.gov/bill/115th-congress/senate-bill/168,"115th Congress (2017-2018)",,"Commercial Vessel Incidental Discharge Act","Sen. Wicker, Roger F. [R-MS]",01/17/2017,,,,23,"Senate - Commerce, Science, and Transportation",03/30/2017,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 27."
"S. 125",https://www.congress.gov/bill/115th-congress/senate-bill/125,"115th Congress (2017-2018)",,"Foreign Spill Protection Act of 2017","Sen. Murkowski, Lisa [R-AK]",01/12/2017,,,,3,"Senate - Environment and Public Works",01/12/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S. 74",https://www.congress.gov/bill/115th-congress/senate-bill/74,"115th Congress (2017-2018)",,"Marine Oil Spill Prevention Act","Sen. Nelson, Bill [D-FL]",01/09/2017,,,,2,"Senate - Commerce, Science, and Transportation",01/09/2017,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
"S.J.Res. 38",https://www.congress.gov/bill/115th-congress/senate-joint-resolution/38,"115th Congress (2017-2018)",,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Approval, Disapproval and Promulgation of Air Quality Implementation Plans; Partial Approval and Partial Disapproval of Air Quality Implementation Plans and Federal Implementation Plan; Utah; Revisions to Regional Haze State Implementation Plan; Federal Implementation Plan for Regional Haze"".","Sen. Lee, Mike [R-UT]",03/13/2017,,,,1,"Senate - Environment and Public Works",03/13/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S.J.Res. 28",https://www.congress.gov/bill/115th-congress/senate-joint-resolution/28,"115th Congress (2017-2018)",,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Administrator of the Environmental Protection Agency relating to accidental release prevention requirements of risk management programs under the Clean Air Act.","Sen. Inhofe, James M. [R-OK]",03/02/2017,,,,16,"Senate - Environment and Public Works",03/02/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S.J.Res. 21",https://www.congress.gov/bill/115th-congress/senate-joint-resolution/21,"115th Congress (2017-2018)",,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to Cross-State Air Pollution Rule Update for the 2008 Ozone NAAQS.","Sen. Toomey, Pat [R-PA]",02/03/2017,,,,0,"Senate - Environment and Public Works",02/03/2017,"Read twice and referred to the Committee on Environment and Public Works."
"S.J.Res. 10",https://www.congress.gov/bill/115th-congress/senate-joint-resolution/10,"115th Congress (2017-2018)",,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by the Secretary of the Interior relating to stream protection.","Sen. McConnell, Mitch [R-KY]",01/30/2017,,,,29,"Senate - Energy and Natural Resources",01/30/2017,"Read twice and referred to the Committee on Energy and Natural Resources."
"S.Con.Res. 42",https://www.congress.gov/bill/115th-congress/senate-concurrent-resolution/42,"115th Congress (2017-2018)",,"A concurrent resolution supporting America's clean car standards and defending State authority under the Clean Air Act to protect their citizens from harmful air pollution.","Sen. Harris, Kamala D. [D-CA]",08/01/2018,,,,35,"Senate - Environment and Public Works",08/01/2018,"Referred to the Committee on Environment and Public Works."
"S.Res. 708",https://www.congress.gov/bill/115th-congress/senate-resolution/708,"115th Congress (2017-2018)",,"A resolution expressing the need for bold climate action in response to the release of the United Nations report entitled ""Global Warming of 1.5 C, an IPCC special report on the impacts of global warming of 1.5 C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty"" and the Fourth National Climate Assessment report entitled ""Volume II: Impacts, Risks, and Adaptation in the United States"" by the United States Global Change Research Program.","Sen. Merkley, Jeff [D-OR]",11/27/2018,,,,25,"Senate - Environment and Public Works",11/27/2018,"Referred to the Committee on Environment and Public Works."
"S.Res. 642",https://www.congress.gov/bill/115th-congress/senate-resolution/642,"115th Congress (2017-2018)",,"A resolution designating the week of September 15 through September 22, 2018, as ""National Estuaries Week"".","Sen. Whitehouse, Sheldon [D-RI]",09/18/2018,,,,26,"Senate - Judiciary",10/04/2018,"Resolution agreed to in Senate without amendment and an amended preamble by Unanimous Consent."
"S.Res. 573",https://www.congress.gov/bill/115th-congress/senate-resolution/573,"115th Congress (2017-2018)",,"A resolution expressing the sense of the Senate that climate change is real and that the National Science Foundation should engage on the communication of sound climate change science to the public.","Sen. Whitehouse, Sheldon [D-RI]",07/12/2018,,,,17,"Senate - Commerce, Science, and Transportation",07/12/2018,"Referred to the Committee on Commerce, Science, and Transportation. (text of measure as introduced: CR S4953)"
"S.Res. 473",https://www.congress.gov/bill/115th-congress/senate-resolution/473,"115th Congress (2017-2018)",,"A resolution expressing no confidence in the Administrator of the Environmental Protection Agency and calling for the immediate resignation of the Administrator.","Sen. Udall, Tom [D-NM]",04/18/2018,,,,38,"Senate - Environment and Public Works",04/18/2018,"Referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S2266-2267)"
"S.Res. 232",https://www.congress.gov/bill/115th-congress/senate-resolution/232,"115th Congress (2017-2018)",,"A resolution supporting the inclusion and meaningful engagement of Latinos in environmental protection and conservation efforts.","Sen. Bennet, Michael F. [D-CO]",07/26/2017,,,,17,"Senate - Energy and Natural Resources",07/26/2017,"Referred to the Committee on Energy and Natural Resources."
"S.Res. 230",https://www.congress.gov/bill/115th-congress/senate-resolution/230,"115th Congress (2017-2018)",,"A resolution designating the week of September 16 through September 23, 2017, as ""National Estuaries Week"".","Sen. Whitehouse, Sheldon [D-RI]",07/24/2017,,,,28,"Senate - Judiciary",08/03/2017,"Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent."
"S.Res. 12",https://www.congress.gov/bill/115th-congress/senate-resolution/12,"115th Congress (2017-2018)",,"A resolution expressing the sense of the Senate that clean water is a national priority, and that the June 29, 2015, Waters of the United States Rule should be withdrawn or vacated.","Sen. Fischer, Deb [R-NE]",01/12/2017,,,,1,"Senate - Environment and Public Works",01/12/2017,"Referred to the Committee on Environment and Public Works."
"H.R. 6508",https://www.congress.gov/bill/114th-congress/house-bill/6508,"114th Congress (2015-2016)",,"Preventing Preventable Earthquakes Act","Rep. Grijalva, Raul M. [D-AZ-3]",12/08/2016,,,,0,"House - Energy and Commerce",12/08/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6465",https://www.congress.gov/bill/114th-congress/house-bill/6465,"114th Congress (2015-2016)",,"To authorize the incorporation of water quality improvement partnership programs into Federal Water Pollution Control Act NPDES permit programs, and for other purposes.","Rep. Duncan, John J., Jr. [R-TN-2]",12/07/2016,,,,0,"House - Transportation and Infrastructure",12/07/2016,"Referred to the House Committee on Transportation and Infrastructure."
"H.R. 6460",https://www.congress.gov/bill/114th-congress/house-bill/6460,"114th Congress (2015-2016)",,"Buy America for Drinking Water Extension Act of 2016","Rep. Bustos, Cheri [D-IL-17]",12/07/2016,,,,13,"House - Energy and Commerce",12/07/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6448",https://www.congress.gov/bill/114th-congress/house-bill/6448,"114th Congress (2015-2016)",,"Wildlife Corridors Conservation Act of 2016","Rep. Beyer, Donald S., Jr. [D-VA-8]",12/07/2016,,,,0,"House - Natural Resources, Armed Services, Agriculture, Transportation and Infrastructure",12/16/2016,"Referred to the Subcommittee on Conservation and Forestry."
"H.R. 6418",https://www.congress.gov/bill/114th-congress/house-bill/6418,"114th Congress (2015-2016)",,"Drinking Water Affordability Act of 2016","Rep. Latta, Robert E. [R-OH-5]",12/01/2016,,,,0,"House - Energy and Commerce",12/01/2016,"Referred to the House Committee on Energy and Commerce."
