"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3427",https://www.congress.gov/bill/114th-congress/senate-bill/3427,"114th Congress (2015-2016)",,"Alan Reinstein Ban Asbestos Now Act of 2016","Sen. Boxer, Barbara [D-CA]",09/28/2016,,,,1,"Senate - Environment and Public Works",09/28/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3319",https://www.congress.gov/bill/114th-congress/senate-bill/3319,"114th Congress (2015-2016)",,"A bill to require the Administrator of the Environmental Protection Agency to appoint a harmful algal bloom coordinator.","Sen. Brown, Sherrod [D-OH]",09/13/2016,,,,0,"Senate - Environment and Public Works",09/13/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3278",https://www.congress.gov/bill/114th-congress/senate-bill/3278,"114th Congress (2015-2016)",,"Invasive Fish and Wildlife Prevention Act of 2016","Sen. Gillibrand, Kirsten E. [D-NY]",07/14/2016,,,,3,"Senate - Environment and Public Works",07/14/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3197",https://www.congress.gov/bill/114th-congress/senate-bill/3197,"114th Congress (2015-2016)",,"Quiet Communities Act of 2016","Sen. Schumer, Charles E. [D-NY]",07/13/2016,,,,1,"Senate - Environment and Public Works",07/13/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3165",https://www.congress.gov/bill/114th-congress/senate-bill/3165,"114th Congress (2015-2016)",,"Big Oil Bailout Prevention Unlimited Liability Act of 2016","Sen. Menendez, Robert [D-NJ]",07/12/2016,,,,10,"Senate - Environment and Public Works",07/12/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3163",https://www.congress.gov/bill/114th-congress/senate-bill/3163,"114th Congress (2015-2016)",,"Big Oil Bailout Prevention Trust Fund Act of 2016","Sen. Menendez, Robert [D-NJ]",07/12/2016,,,,10,"Senate - Finance",07/12/2016,"Read twice and referred to the Committee on Finance."
"S. 3131",https://www.congress.gov/bill/114th-congress/senate-bill/3131,"114th Congress (2015-2016)",,"Made in America Water Infrastructure Act","Sen. Baldwin, Tammy [D-WI]",07/06/2016,,,,0,"Senate - Environment and Public Works",07/06/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3121",https://www.congress.gov/bill/114th-congress/senate-bill/3121,"114th Congress (2015-2016)",,"A bill to require the Secretary of the Army to carry out a comprehensive assessment and management plan to restore aquatic ecosystems in the North Atlantic coast region.","Sen. Whitehouse, Sheldon [D-RI]",06/29/2016,,,,0,"Senate - Environment and Public Works",06/29/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 3086",https://www.congress.gov/bill/114th-congress/senate-bill/3086,"114th Congress (2015-2016)",,"Marine Debris Act Amendments of 2016","Sen. Booker, Cory A. [D-NJ]",06/22/2016,,,,0,"Senate - Commerce, Science, and Transportation",12/12/2016,"Held at the desk."
"S. 3074",https://www.congress.gov/bill/114th-congress/senate-bill/3074,"114th Congress (2015-2016)",,"Climate Change Education Act","Sen. Markey, Edward J. [D-MA]",06/16/2016,,,,9,"Senate - Commerce, Science, and Transportation",06/16/2016,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
"S. 2993",https://www.congress.gov/bill/114th-congress/senate-bill/2993,"114th Congress (2015-2016)",,"FUELS Act","Sen. Fischer, Deb [R-NE]",05/26/2016,,,,13,"Senate - Environment and Public Works",05/26/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2951",https://www.congress.gov/bill/114th-congress/senate-bill/2951,"114th Congress (2015-2016)",,"Foreign Spill Protection Act of 2016","Sen. Murkowski, Lisa [R-AK]",05/18/2016,,,,3,"Senate - Environment and Public Works",05/18/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2950",https://www.congress.gov/bill/114th-congress/senate-bill/2950,"114th Congress (2015-2016)",,"Gold King ACT","Sen. Gardner, Cory [R-CO]",05/18/2016,,,,1,"Senate - Judiciary",05/18/2016,"Read twice and referred to the Committee on the Judiciary."
"S. 2949",https://www.congress.gov/bill/114th-congress/senate-bill/2949,"114th Congress (2015-2016)",,"Great Lakes Fish and Wildlife Restoration Act of 2016","Sen. Klobuchar, Amy [D-MN]",05/18/2016,,,,5,"Senate - Environment and Public Works",05/18/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2899",https://www.congress.gov/bill/114th-congress/senate-bill/2899,"114th Congress (2015-2016)",,"Zika Response and Regulatory Relief Act","Sen. Thune, John [R-SD]",04/28/2016,,,,0,"Senate - Environment and Public Works",04/28/2016,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2884",https://www.congress.gov/bill/114th-congress/senate-bill/2884,"114th Congress (2015-2016)",,"EPA Accountability in Flint Act","Sen. Cotton, Tom [R-AR]",04/28/2016,,,,0,"Senate - Judiciary",04/28/2016,"Read twice and referred to the Committee on the Judiciary."
"S. 2882",https://www.congress.gov/bill/114th-congress/senate-bill/2882,"114th Congress (2015-2016)",,"Ozone Standards Implementation Act of 2016","Sen. Capito, Shelley Moore [R-WV]",04/28/2016,,,,9,"Senate - Environment and Public Works",06/22/2016,"Committee on Environment and Public Works Senate Subcommittee on Clean Air and Nuclear Safety. Hearings held. With printed Hearing: S.Hrg. 114-363."
"S. 2860",https://www.congress.gov/bill/114th-congress/senate-bill/2860,"114th Congress (2015-2016)",,"Climate Change Adapt America Bond Act of 2016","Sen. Boxer, Barbara [D-CA]",04/27/2016,,,,1,"Senate - Finance",04/27/2016,"Read twice and referred to the Committee on Finance."
